TilID Xstart Ystart UZ  EPSG   MinLon    MaxLon   MinLat    MaxLat
01JEF 499980 6600040 1S  32701 -177.0002 -175.8413 -31.7232  -30.7275 
01JEG 499980 6700000 1S  32701 -177.0002 -175.8523 -30.8213  -29.8256 
01JEH 499980 6800020 1S  32701 -177.0002 -175.8628 -29.9187  -28.923  
01JEJ 499980 6900040 1S  32701 -177.0002 -175.8728 -29.016   -28.0204 
01JEK 499980 7000000 1S  32701 -177.0002 -175.8824 -28.1137  -27.1181 
01JEL 499980 7100020 1S  32701 -177.0002 -175.8915 -27.2108  -26.2152 
01JEM 499980 7200040 1S  32701 -177.0002 -175.9003 -26.3077  -25.3122 
01JEN 499980 7300000 1S  32701 -177.0002 -175.9086 -25.4051  -24.4096 
01JFF 600000 6600040 1S  32701 -175.9555 -174.7862 -31.7189  -30.714  
01JFG 600000 6700000 1S  32701 -175.965  -174.8071 -30.8171  -29.8126 
01JFH 600000 6800020 1S  32701 -175.9741 -174.8271 -29.9147  -28.9105 
01JFJ 600000 6900040 1S  32701 -175.9828 -174.8463 -29.0121  -28.0083 
01JFK 600000 7000000 1S  32701 -175.9911 -174.8646 -28.1099  -27.1065 
01JFL 600000 7100020 1S  32701 -175.999  -174.882  -27.2071  -26.2041 
01JFM 600000 7200040 1S  32701 -176.0065 -174.8987 -26.3042  -25.3015 
01JFN 600000 7300000 1S  32701 -176.0137 -174.9146 -25.4017  -24.3993 
01JGF 699960 6600040 1S  32701 -174.9118 -173.7326 -31.7058  -30.6922 
01JGG 699960 6700000 1S  32701 -174.9308 -173.7635 -30.8045  -29.7916 
01JGH 699960 6800020 1S  32701 -174.949  -173.793  -29.9025  -28.8903 
01JGJ 699960 6900040 1S  32701 -174.9663 -173.8212 -29.0003  -27.9888 
01JGK 699960 7000000 1S  32701 -174.9829 -173.8482 -28.0986  -27.0877 
01JGL 699960 7100020 1S  32701 -174.9987 -173.8739 -27.1962  -26.186  
